ID,Country,No.WGames,Gold,Silver,Bronze,Total,Ratio.MedalPart
1,Norway,24,148,134,124,406,16.91666667
3,Germany,13,105,97,65,267,20.53846154
5,Canada,24,77,72,76,225,9.375
10,Netherlands,22,53,49,45,147,6.681818182
12,Italy,24,42,43,56,141,5.875
17,China,12,22,32,23,77,6.416666667
21,Unified Team,1,9,6,8,23,23
24,Poland,24,7,7,9,23,0.958333333
26,Croatia,9,4,6,1,11,1.222222222
27,Estonia,11,4,2,2,8,0.727272727
28,Slovakia,8,4,5,1,10,1.25
29,Ukraine,8,3,2,4,9,1.125
34,Kazakhstan,8,1,3,4,8,1
39,Uzbekistan,8,1,0,0,1,0.125
40,Latvia,12,1,3,6,10,0.833333333
43,New Zealand,17,2,2,2,6,0.352941176
47,Albania,5,0,0,0,0,0
52,Armenia,8,0,0,0,0,0
54,Bermuda,8,0,0,0,0,0
57,Brazil,9,0,0,0,0,0
58,British Virgin Islands,2,0,0,0,0,0
60,Cayman Islands,2,0,0,0,0,0
61,Chile,18,0,0,0,0,0
66,Dominica,1,0,0,0,0,0
70,Eritrea,2,0,0,0,0,0
80,Iceland,19,0,0,0,0,0
81,India,11,0,0,0,0,0
83,Ireland,8,0,0,0,0,0
84,Israel,8,0,0,0,0,0
85,Jamaica,9,0,0,0,0,0
87,Korea,19,33,30,16,79,4.157894737
91,Lithuania,10,0,0,0,0,0
93,Madagascar,3,0,0,0,0,0
95,Malta,3,0,0,0,0,0
97,Moldova,8,0,0,0,0,0
98,Monaco,11,0,0,0,0,0
100,Montenegro,4,0,0,0,0,0
101,Morocco,8,0,0,0,0,0
103,Netherlands Antilles,2,0,0,0,0,0
104,Nigeria,2,0,0,0,0,0
107,Peru,3,0,0,0,0,0
109,Portugal,9,0,0,0,0,0
112,San Marino,11,0,0,0,0,0
115,Serbia,4,0,0,0,0,0
118,Swaziland,1,0,0,0,0,0
119,Tajikistan,4,0,0,0,0,0
120,Thailand,5,0,0,0,0,0
122,Tonga,2,0,0,0,0,0
124,Turkey,18,0,0,0,0,0
128,Yugoslavia,14,0,3,1,4,0.285714286
